sales_id,sales_amount,customer_id,date_id,product_id
100000,23.64,629,888,HOT:TEA:EAR:1339
100001,44.67,751,76,COL:ICE:ICE:1633
100002,26.24,329,67,COL:ICE:ICE:1918
100003,46.86,305,315,RET:MUG:PYB:1708
100004,45.11,435,293,COL:ICE:ICE:1757
100005,46.04,102,584,SNA:PAC:FRU:1900
100006,17.71,656,503,HOT:COF:MOC:1413
100007,33.1,178,259,HOT:TEA:HER:1153
100008,34.51,683,416,SNA:BAK:MUF:1456
100009,9.42,436,742,HOT:TEA:EAR:1717
100010,12.23,480,378,HOT:TEA:EAR:1545
100011,36.66,776,838,HOT:TEA:GRE:1454
100012,42.68,954,235,RET:KIT:FRE:1862
100013,14.15,252,990,HOT:TEA:GRE:1637
100014,11.44,233,355,COL:ICE:ICE:1427
100015,10.61,789,22,RET:KIT:DRI:1170
100016,46.17,622,244,COL:ICE:ICE:1619
100017,15.97,1051,765,COL:ICE:ICE:1958
100018,34.84,703,812,HOT:TEA:HER:1001
100019,44.32,740,215,RET:KIT:DRI:1209
100020,42.01,844,535,COL:ICE:ICE:1971
100021,22.58,974,566,RET:MUG:PYB:1166
100022,15.94,1085,584,COL:ICE:COL:1204
100023,7.53,536,795,RET:MUG:PYB:1263
100024,20.91,1072,546,RET:MUG:PYB:1457
100025,13.24,123,318,SNA:BAK:BAG:1615
100026,15.58,377,750,COL:ICE:ICE:1558
100027,29.98,725,23,SNA:BAK:CIN:1255
100028,6.78,941,85,HOT:TEA:CHA:1243
100029,33.12,883,285,RET:KIT:FRE:1309
100030,10.36,766,141,SNA:PAC:GRO:1608
100031,18.41,803,511,SNA:PAC:CHE:1045
100032,32.49,548,959,RET:MUG:PYB:1356
100033,36.38,530,414,HOT:COF:ESP:1022
100034,35.11,981,929,HOT:TEA:HER:1368
100035,18.82,420,597,COL:ICE:ICE:1387
100036,29.19,582,913,HOT:TEA:EAR:1526
100037,38.93,494,714,COL:ICE:ICE:1191
100038,27.05,623,800,COL:ICE:ICE:1665
100039,14.7,551,300,RET:KIT:DRI:1331
100040,10.8,684,907,HOT:TEA:CHA:1628
100041,9.01,153,770,HOT:COF:MOC:1376
100042,13.28,604,713,SNA:BAK:CIN:1625
100043,33.2,119,410,COL:ICE:ICE:1906
100044,28.53,303,564,COL:ICE:ICE:1262
100045,24.58,539,870,COL:ICE:COL:1345
100046,27.72,913,837,RET:KIT:FRE:1546
100047,32.99,653,368,SNA:BAK:BAG:1522
100048,26.04,372,512,COL:ICE:ICE:1149
100049,28.56,637,459,HOT:COF:CAP:1975
100050,23.48,1047,613,SNA:PAC:GRO:1175
100051,23.01,335,927,HOT:TEA:GRE:1453
100052,7.37,276,978,HOT:TEA:CHA:1569
100053,13.16,953,986,RET:KIT:DRI:1342
100054,42.82,779,681,SNA:BAK:BAG:1589
100055,32.07,229,282,HOT:COF:AME:1666
100056,20.66,136,44,SNA:BAK:BAG:1615
100057,13.81,928,535,SNA:BAK:COO:1837
100058,31.2,451,349,COL:ICE:COL:1758
100059,43.8,288,582,SNA:PAC:M&M:1564
100060,28.77,962,648,HOT:TEA:EAR:1200
100061,40.37,331,173,RET:MUG:PYB:1980
100062,20.64,798,769,SNA:BAK:BAG:1128
100063,10.31,771,464,COL:ICE:ICE:1188
100064,33.92,784,715,HOT:TEA:HER:1605
100065,48.85,931,764,COL:ICE:ICE:1399
100066,21.43,772,429,COL:ICE:COL:1624
100067,35.54,138,386,RET:KIT:FRE:1025
100068,38.9,114,898,HOT:TEA:CHA:1369
100069,9.84,335,1,SNA:PAC:FRU:1900
100070,17.5,605,338,HOT:COF:CAP:1205
100071,40.42,918,552,RET:MUG:PYB:1431
100072,13.56,587,61,RET:KIT:PER:1549
100073,34.46,246,652,RET:MUG:PYB:1244
100074,38.66,231,545,SNA:BAK:MUF:1050
100075,33.88,551,154,HOT:COF:ESP:1811
100076,40.27,308,33,RET:KIT:DRI:1830
100077,29.03,974,407,COL:ICE:ICE:1774
100078,31.86,444,452,RET:KIT:FRE:1212
100079,17.81,953,273,RET:KIT:PER:1771
100080,46.93,113,924,HOT:TEA:BLA:1196
100081,34.89,597,722,COL:ICE:ICE:1448
100082,21.51,514,277,SNA:BAK:BAG:1943
100083,21.37,586,100,SNA:PAC:FRU:1647
100084,19.67,700,75,COL:ICE:ICE:1663
100085,8.06,553,853,HOT:COF:CAP:1264
100086,21.3,508,463,COL:ICE:ICE:1262
100087,39.39,793,842,RET:KIT:PER:1907
